"","uniprot_id","genesymbol"
"499","Q91WN4","Kmo"
"500","P97807","Fh"
"501","P00375","Dhfr"
"502","O08573","Lgals9"
"503","P19639","Gstm3"
"504","Q9QYG0","Ndrg2"
"505","O35386","Phyh"
"506","Q9QUM9","Psma6"
"507","Q91X52","Dcxr"
"508","Q8QZS1","Hibch"
"509","Q9D0T1","Snu13"
"510","Q9D1M0","Sec13"
"511","Q99KB8","Hagh"
"512","Q9CYH2","Prxl2a"
"513","Q99KR3","Lactb2"
"514","Q9R1J0","Nsdhl"
"515","Q61694","Hsd3b5"
"516","Q8BG05","Hnrnpa3"
"517","P62334","Psmc6"
"518","Q61937","Npm1"
"519","P60335","Pcbp1"
"520","Q922Q1","Mtarc2"
"521","Q9CW42","Mtarc1"
"522","Q9WTP6","Ak2"
"523","Q64459","Cyp3a11"
"524","Q9Z0X1","Aifm1"
"525","P14094","Atp1b1"
"526","Q9R0Q7","Ptges3"
"527","Q64516","Gk"
"528","Q9CY50","Ssr1"
"529","Q99LI8","Hgs"
"530","P80317","Cct6a"
"531","P00397","Mtco1"
"532","Q9QXZ6","Slco1a1"
"533","Q9CXF0","Kynu"
"534","Q3TLP5","Echdc2"
"535","P50285","Fmo1"
"536","Q99020","Hnrnpab"
"537","P16546","Sptan1"
"538","P70441","Slc9a3r1"
"539","Q9R1P1","Psmb3"
"540","P51855","Gss"
"541","P29341","Pabpc1"
"542","Q9D2G2","Dlst"
"543","A2AJL3","Fggy"
"544","P17563","Selenbp1"
"545","Q9D6J5","Ndufb8"
"546","Q76MZ3","Ppp2r1a"
"547","Q9Z2Y8","Plpbp"
"548","Q921F2","Tardbp"
"549","Q91W64","Cyp2c70"
"550","Q99L04","Dhrs1"
"551","Q8BG32","Psmd11"
"552","Q61316","Hspa4"
"553","P48758","Cbr1"
"554","Q9CYW4","Hdhd3"
"555","Q99JI4","Psmd6"
"556","Q9CQC9","Sar1b"
"557","Q9Z2M7","Pmm2"
"558","Q8VCU1","Ces3b"
"559","P97364","Sephs2"
"560","Q01149","Col1a2"
"561","O70451","Slc16a7"
"562","Q9CXN7","Pbld2"
"563","Q9CQV8","Ywhab"
"564","Q9D1D4","Tmed10"
"565","Q8BGQ7","Aars1"
"566","Q8BFR5","Tufm"
"567","Q6ZQ38","Cand1"
"568","Q9Z2W0","Dnpep"
"569","Q9CVB6","Arpc2"
"570","P29391","Ftl1"
"571","P00186","Cyp1a2"
"572","Q99JR1","Sfxn1"
"573","P80318","Cct3"
"574","Q99K67","Aass"
"575","Q8K2C9","Hacd3"
"576","P28843","Dpp4"
"577","Q9QY30","Abcb11"
"578","Q99K48","Nono"
"579","O88685","Psmc3"
"580","Q9D6Y9","Gbe1"
"581","Q8VE09","Ttc39c"
"582","O88428","Papss2"
"583","P26041","Msn"
"584","Q60597","Ogdh"
"585","P01027","C3"
"586","P29758","Oat"
"587","P26350","Ptma"
"588","Q6ZWU9","Rps27"
"589","Q8VDJ3","Hdlbp"
"590","Q9D958","Spcs1"
"591","P47199","Cryz"
"592","P11276","Fn1"
"593","Q9DBN5","Lonp2"
"594","P63037","Dnaja1"
"595","E9PWQ3",NA
"596","Q99MN9","Pccb"
"597","P32261","Serpinc1"
"598","Q91ZA3","Pcca"
"599","Q8BWP5","Ttpa"
"600","P62827","Ran"
"601","Q7TMK9","Syncrip"
"602","Q8C165","Pm20d1"
"603","Q923D2","Blvrb"
"604","O88668","Creg1"
"605","Q9Z1Q9","Vars1"
"606","Q3ULD5","Mccc2"
"607","P99027","Rplp2"
"608","P62754","Rps6"
"609","P16332","Mmut"
"610","P31786","Dbi"
"611","Q80WJ7","Mtdh"
"612","P97429","Anxa4"
"613","Q9JLI6","Scly"
"614","P56399","Usp5"
"615","P26638","Sars1"
"616","P19536","Cox5b"
"617","P97823","Lypla1"
"618","P48678","Lmna"
"619","Q8VDM4","Psmd2"
"620","P28665","Mug1"
"621","Q9WV68","Decr2"
"622","Q9D0R2","Tars1"
"623","Q3UEG6","Agxt2"
"624","P28352","Apex1"
"625","Q9D051","Pdhb"
"626","Q8BMK4","Ckap4"
"627","P26043","Rdx"
"628","Q8K310","Matr3"
"629","Q9CWS0","Ddah1"
"630","Q60866","Pter"
"631","E9Q5K4","Cyp2c23"
"632","Q80XL6","Acad11"
"633","Q9CXZ1","Ndufs4"
"634","P99028","Uqcrh"
"635","Q91W90","Txndc5"
"636","Q9CX56","Psmd8"
"637","Q8R086","Suox"
"638","Q8CFE4","Scyl2"
"639","Q60864","Stip1"
"640","Q99PL5","Rrbp1"
"641","Q91WD5","Ndufs2"
"642","O08795","Prkcsh"
"643","P46978","Stt3a"
"644","Q9CQ92","Fis1"
"645","O54749","Cyp2j5"
"646","Q9R112","Sqor"
"647","Q61233","Lcp1"
"648","Q99K51","Pls3"
"649","Q791V5","Mtch2"
"650","P61458","Pcbd1"
"651","Q9D8W5","Psmd12"
"652","Q9DBG1","Cyp27a1"
"653","Q9D1A2","Cndp2"
"654","Q99KV1","Dnajb11"
"655","Q8BP67","Rpl24"
"656","Q7TNG8","Ldhd"
"657","O55143","Atp2a2"
"658","P61255","Rpl26"
"659","Q9EP75","Cyp4f14"
"660","P70168","Kpnb1"
"661","P51150","Rab7a"
"662","Q8C6B0",NA
"663","Q9JLI0",NA
"664","P61358","Rpl27"
"665","Q5FW57","Gm4952"
"666","Q71RI9","Kyat3"
"667","Q9WUZ9","Entpd5"
"668","Q99MZ7","Pecr"
"669","Q921X9","Pdia5"
"670","Q8K0E8","Fgb"
"671","Q60668","Hnrnpd"
"672","Q9EQW4",NA
"673","O35381","Anp32a"
"674","P24472","Gsta4"
"675","Q6TEK5","Vkorc1l1"
"676","O70503","Hsd17b12"
"677","Q63836","Selenbp2"
"678","O89017","Lgmn"
"679","Q8CHR6","Dpyd"
"680","P80313","Cct7"
"681","Q8CGC7","Eprs1"
"682","Q9JMH6","Txnrd1"
"683","Q9CQN6","Tmem14c"
"684","Q8K4Z3","Naxe"
"685","Q8CGK3","Lonp1"
"686","Q922E4","Pcyt2"
"687","P49722","Psma2"
"688","Q9JK38","Gnpnat1"
"689","P00493","Hprt1"
"690","Q8R1G2","Cmbl"
"691","Q9QZD8","Slc25a10"
"692","P80314","Cct2"
"693","P30999","Ctnnd1"
"694","Q8JZZ0","Ugt3a2"
"695","Q9D0F3","Lman1"
"696","P07356","Anxa2"
"697","P68254","Ywhaq"
"698","P62852","Rps25"
"699","Q61838","Pzp"
"700","Q9EQH2","Erap1"
"701","Q60930","Vdac2"
"702","P40124","Cap1"
"703","Q91VI7","Rnh1"
"704","Q91YH5","Atl3"
"705","P07309","Ttr"
"706","Q9Z0N1","Eif2s3x"
"707","Q9DCF9","Ssr3"
"708","P18572","Bsg"
"709","O08914","Faah"
"710","Q99LB2","Dhrs4"
"711","Q9Z2X1","Hnrnpf"
"712","P51658","Hsd17b2"
"713","Q9CQJ8","Ndufb9"
"714","P03930","Mtatp8"
"715","E9PV24","Fga"
"716","Q9JJW0","Pxmp4"
"717","P10922","H1-0"
"718","Q6ZWV7","Rpl35"
"719","O55142","Rpl35a"
"720","P42932","Cct8"
"721","P22315","Fech"
"722","Q9CQE1","Nipsnap3b"
"723","O09167","Rpl21"
"724","Q91VR5","Ddx1"
